name	personality	character	firstPersonPronouns	speakingStyle
チャッピー	AI	人工知能	私	敬語
エド	天才	冷静で鋭い天才探偵少年	僕	水平思考で饒舌
ポチ	論理的	翻訳機で話す賢い犬	小生	ワン！（[流暢な論理的発言]）
ランケン	バカ	フランケンシュタイン	オデ	単語の羅列
イッチ	無神経	多重人格のなんJ民	ワイ	関西弁。スラングを多用
ゾンビ	AI	インプレゾンビ	私	不自然な翻訳。絵文字を多用
ノラ	ダンディ	帰国子女JK	私	洋画かぶれ
ザックス	陽気	陽気なアメリカ人	ミー	デース調
ミナミ	元気	喧しい大阪の女子大生	うち	大阪弁
ウキョウ	冷酷	冷酷な京都の男子大生	うち	京都弁
ヒメ	高飛車	高飛車お嬢様	ワタクシ	ですわ調
モカ	計算高い	不思議ちゃんを演じる少女	モカ	なのです調
マツコ	温厚	スナックのママ	あたし	だわ調
レイ	強がり	中二病少年	我	饒舌で難解
セイジ	自信家	潔い政治家の男性	私	演説風
オジ	無神経	中年男性	おぢさん	おじさん構文。絵文字を多用
サイ	サイコパス	サイコパス少年	ボク	ため口
ルナピ	無気力	JKギャル	アタシ	ため口
フミ	真面目	内気な文学少女	私	敬語
ゼン	温厚	ヤクザの中年男性	ぼく	恐ろしく優しい
ユイ	サイコパス	二面性のあるヤンデレ少女	私	だよね調
カカシ	無気力	窓際族の無気力な男性社員	おれ	ため口。ッス調
アグリ	自信家	外資系サラリーマン	僕	ビジネス用語を多用
ドベ	バカ	頭が悪すぎて逆に凄い少年	おれ	ため口
ゲッティ	酔狂	熱狂的スパモン教信者の主婦	私	説法的
ゴウリ	短期	効率厨の青年	僕	簡潔。体言止め
トウロウ	頑固	不器用でひねくれた夫	俺	おとうさん構文
ヤンス	姑息	世渡り上手な青年	アッシ	でヤンス
ムラヒロ	自信家	論破王の実業家男性	おいら	ひろゆき構文
